#{"t_start": 1784215543.441835, "env_id": "None"}
r,l,t
-49.512433,36,6.275376
895.484343,315,24.576053
697.287605,255,27.894479
441.726599,1042,42.08261
-49.53589,86,42.921126
154.033384,180,44.545171
567.832706,435,52.888168
107.140868,1365,66.52633
2.894822,1369,82.330198
-50.033361,16,82.464767
797.970058,419,86.465064
53.722833,119,87.637349
676.195409,391,91.157958
899.990734,205,95.874318
795.308813,409,99.615876
968.285757,427,103.656684
694.297983,298,106.388297
1074.174437,572,111.846722
604.100555,144,113.141444
167.895948,415,121.95034
656.96827,588,129.10251
-49.127462,87,129.977314
891.89034,271,132.986881
-99.274071,1367,149.882687
45.738125,265,152.43697
260.505743,143,154.122019
596.205406,120,155.337582
-51.336328,38,155.711591
-52.519564,60,156.293128
447.250221,630,162.922962
-46.867346,24,163.180871
519.701544,1341,180.196978
151.375393,258,182.754859
796.629279,219,184.681177
-97.080354,1377,202.332977
46.439007,107,203.336323
894.412479,304,206.274912
348.556724,432,211.149471
1077.945479,752,221.489432
997.379488,356,225.462809
51.617031,110,226.506133
591.339463,169,228.132094
170.48446,206,230.209294
792.588268,392,235.224109
605.800321,178,236.72581
598.510241,122,237.929315
111.738565,1363,255.297747
-58.135626,241,287.668379
51.745274,187,289.400125
58.392923,245,291.794001
249.323979,211,297.211211
1099.64896,377,300.218562
899.337761,197,301.959176
542.576742,762,309.444959
1073.670407,527,314.099137
-51.751767,77,317.941871
-99.846419,1363,329.819498
794.631297,301,332.21089
982.910611,498,340.277612
994.215728,296,342.9974
1003.238892,339,345.708821
352.467199,224,348.133288
145.568347,204,350.017468
1076.90916,640,355.658911
826.500958,951,368.165097
48.181262,57,368.853855
599.17386,155,370.610718
54.312912,85,371.623512
991.488196,303,374.948822
-52.129434,69,375.620064
700.99695,196,377.306195
594.877437,192,378.905131
46.010375,100,380.366447
895.209894,205,386.205671
992.513167,440,390.219367
-51.873579,25,390.492328
257.714768,194,392.463579
792.197037,387,395.695825
596.189012,165,397.07149
1095.884398,359,400.677388
1104.7357,362,403.923975
584.710449,279,409.454645
593.285952,251,411.722266
900.800582,271,414.121195
350.439935,392,417.488571
244.474062,346,420.719787
598.725885,105,422.03389
152.700601,280,424.623855
157.259207,305,431.118587
699.299086,97,431.889053
603.425256,62,432.402606
602.864899,161,433.804149
145.950588,256,436.108786
453.761196,431,440.008487
54.046081,132,441.139626
154.958138,268,443.63656
601.798578,108,444.597079
894.96564,384,453.519299
46.369236,38,453.853302
-50.002836,21,454.0307
454.770785,248,456.229771
585.473026,298,459.076804
266.543681,330,461.673349
591.334494,237,464.067475
701.735476,193,465.997184
699.224877,221,467.81339
592.067216,1202,481.70911
141.228055,504,486.236771
-49.277567,86,486.996188
581.581495,384,490.430284
596.250356,256,492.821213
806.735041,220,498.634928
999.126251,415,502.665076
593.746634,138,503.990897
897.096251,297,506.935096
-50.140698,16,507.127962
154.732604,84,530.668304
259.234013,244,532.76638
51.512734,181,534.292292
584.594901,301,537.02416
799.348516,300,542.671833
606.341998,217,544.517199
931.048444,1022,552.891193
793.178992,259,555.170639
249.143068,187,556.820668
251.0982,327,563.403782
793.239312,294,565.679788
245.554975,392,569.785886
1093.507735,333,572.979963
149.35723,188,574.54821
704.224433,174,575.896889
979.800836,589,581.496123
893.029277,404,588.255771
696.848821,150,589.668458
52.092606,123,590.632702
114.136654,1364,608.157286
697.444025,262,616.412543
785.051358,334,620.73285
605.663715,125,621.855473
1101.958914,270,625.254294
605.441497,295,628.026086
895.784216,321,631.311465
1029.1431,984,645.935594
890.226415,367,653.666704
167.446654,358,658.887035
1083.360259,462,665.926475
598.411192,141,667.250891
780.111434,364,676.246002
641.443211,1362,698.39593
567.006866,395,705.359058
649.629603,743,722.57435
-49.065767,48,723.580793
977.936082,584,733.014259
155.305955,189,737.499192
1090.400022,317,743.530267
154.40885,119,745.681829
701.823662,183,751.847739
50.546344,128,753.448887
771.606559,573,761.713335
599.568246,77,762.423643
603.571693,147,763.668331
424.674247,1361,780.205612
-52.263048,54,780.776161
986.204443,452,784.752838
-50.962018,16,784.906294
271.747856,228,787.123407
