#{"t_start": 1784039131.0779603, "env_id": "None"}
r,l,t
-95.56665,1522,14.653875
-83.383945,1026,20.371326
-102.335354,1339,27.0194
-94.036644,1240,39.488966
-100.412406,1356,51.540767
-77.383975,865,58.957859
-58.958428,246,61.065488
-99.379896,1263,73.802169
-97.568216,1518,87.365288
-93.360919,1258,95.13637
-105.013181,1515,107.316434
-88.518971,1036,113.978255
-58.818499,245,117.22287
-96.339171,1416,125.450521
-93.834388,1511,136.576327
-102.326679,1427,146.504425
-102.894973,1508,276.304332
-97.989267,1499,288.296654
-95.390339,1516,300.225389
-101.445145,1506,312.101002
-65.213169,502,315.373912
-104.997126,1497,326.978909
-105.473933,1497,336.859332
-103.582632,1498,348.932909
-56.030739,166,349.979411
-92.399943,1497,362.089697
-96.349914,1492,373.677858
-103.224433,1498,383.103617
-95.922628,1497,394.807968
-99.377897,1425,405.928768
-98.987295,1496,415.529883
-96.450491,1493,557.016654
-54.642868,118,557.757046
-90.979645,1175,567.559619
-96.287737,1497,581.005861
-71.193079,584,585.272632
-106.060565,1486,598.101274
-101.483788,1486,617.694873
-90.291001,1185,629.055526
-98.156038,1488,641.367204
-60.510881,263,643.416657
-63.045812,422,646.218518
-96.271096,1478,658.162237
-63.889143,403,660.721021
-63.175483,459,663.7348
-98.525583,1486,675.458205
-99.913114,1474,687.05727
-66.948076,584,690.988552
-61.170949,330,693.228405
-97.91083,1486,704.860719
-51.301301,43,705.146626
-101.808099,1479,714.462033
-62.376428,318,718.629339
-87.159354,1123,823.178311
-96.505162,1481,834.974177
-100.902977,1464,846.590882
-58.695564,285,848.435923
-56.232639,127,849.182825
-97.542477,1479,860.689878
-78.648218,765,865.630515
-50.779161,44,865.922506
-54.584469,135,866.762474
-60.085643,207,868.047594
-96.66782,1473,879.438273
-70.747981,642,883.636547
-78.011546,969,892.104831
-80.361843,681,896.41851
-91.083166,1325,907.184083
-101.113215,1472,916.755735
-89.909007,1194,926.665748
-99.04744,1474,938.51595
-61.452072,376,940.966354
-69.955159,690,945.415887
-96.631242,1475,956.991612
-98.477408,1467,968.553336
-100.653636,1468,1063.675236
-84.133314,1003,1071.936804
-84.599806,1009,1078.307605
-98.478919,1461,1090.173037
-94.980059,1468,1102.211627
-54.974399,230,1103.612866
-101.049579,1467,1115.091627
-99.064773,1459,1124.750861
-99.75341,1462,1136.548
