#{"t_start": 1784326665.0392451, "env_id": "None"}
r,l,t
167.023497,270,21.190358
602.421564,172,22.532389
586.910075,233,24.370193
52.093537,82,25.087371
461.329685,205,26.965246
35.522774,589,31.964948
901.523281,448,35.513859
-53.288883,159,37.194481
810.889899,242,39.033352
691.548425,361,42.033917
249.414592,785,52.115674
150.737243,177,53.612075
156.364445,166,55.35013
898.385378,320,60.764885
-49.288152,80,61.900945
811.735233,258,64.725756
999.046519,255,66.991649
599.723052,240,69.688784
146.290121,354,73.270524
606.937669,122,76.57821
790.958096,311,79.35324
-55.984615,117,80.294903
581.099834,404,84.462771
603.81575,247,86.462941
-51.233625,16,86.590049
998.910364,231,88.502011
52.363917,114,89.523878
-48.708137,86,90.400837
353.794919,319,92.995261
700.241953,264,95.310727
-49.443702,50,95.735635
593.425746,283,98.110219
569.723142,779,107.026497
158.551633,207,108.990401
-48.170256,14,109.138937
606.868573,235,111.154409
597.336366,96,111.960724
-52.698536,107,112.910537
1000.437878,418,116.029203
899.08192,377,119.104098
884.111072,474,123.207051
797.51385,260,125.581179
-50.517347,14,125.679327
520.816842,1797,155.463538
-50.35123,98,156.314072
46.52902,88,157.089929
468.166456,233,158.959603
601.009226,159,160.156794
53.354435,117,160.972836
909.405707,317,163.323057
-51.342442,26,163.523573
989.966366,577,167.945181
985.297999,420,171.269444
801.222004,300,174.264918
47.616027,185,175.913407
700.332399,136,179.491745
154.376102,480,184.423025
151.037922,152,186.067116
52.203149,41,186.566955
586.740713,316,190.253005
-49.209938,36,190.692485
998.390319,409,196.311058
558.615007,712,201.92242
47.80183,127,203.032142
589.716022,328,206.062685
47.388642,92,206.783818
268.564906,234,208.66105
53.246221,138,209.862529
-48.545593,11,209.979292
805.125292,324,212.767698
154.77625,196,214.681186
810.854742,331,217.308167
62.295227,121,218.283403
801.743287,286,220.471198
703.590894,173,221.765913
8.898767,1637,263.830562
790.196153,439,270.649637
54.182505,126,272.076973
567.261104,588,280.887866
693.428168,365,284.713348
151.561791,150,285.952504
258.018399,207,287.67693
250.829194,388,291.711348
-50.87763,77,292.400564
698.940488,237,294.667979
609.408707,185,296.575127
798.469019,226,301.458718
1083.999504,688,308.113066
-48.622735,33,308.625663
51.922905,106,310.007387
258.592558,384,316.575776
-53.27188,84,317.297223
148.320779,826,325.023269
48.022014,186,326.9136
-49.74704,31,327.250477
703.184848,314,330.16966
1088.98324,587,334.893111
990.709793,315,337.925074
490.777215,1317,352.458008
608.033201,188,356.53474
151.320848,398,360.646487
702.315538,333,365.693677
149.577843,122,367.766059
676.940935,438,372.081617
710.868597,209,375.604002
999.918153,1378,387.527961
836.36969,1092,400.763433
-51.73429,134,401.79864
655.910906,947,409.815267
603.959344,192,411.571769
47.975869,106,412.604921
-50.160768,13,412.730264
708.006409,282,414.771411
1002.028426,369,417.726091
463.090575,260,420.158703
-50.999464,17,420.455005
347.926353,545,428.274388
459.44386,235,430.122476
705.219176,205,432.045763
-49.256626,15,432.411033
594.683177,224,434.245828
10.204497,1558,447.915379
1002.596416,387,451.9254
56.880337,119,452.998222
599.909847,207,454.620662
695.667768,309,459.790961
1079.991239,533,490.2243
1099.467749,388,495.735489
49.083306,81,496.385834
810.158166,188,497.90476
693.789522,247,500.182046
-48.218741,37,500.547761
-51.666904,24,500.713866
597.253041,249,502.557304
154.50077,105,503.499238
1094.784172,525,509.205795
52.407998,99,510.350778
989.782304,338,513.450157
604.497534,223,515.618991
367.959065,212,517.460361
1004.056662,357,523.059369
897.788325,92,524.56424
599.671898,132,525.699108
40.958288,293,528.242435
599.297306,90,528.950379
