"Step","daily-darkness-44 - train/shaping_reward","daily-darkness-44 - train/shaping_reward__MIN","daily-darkness-44 - train/shaping_reward__MAX"
"0","0","0","0"
"536","-0.0057716054575863715","-0.0057716054575863715","-0.0057716054575863715"
"944","-0.006290744869685106","-0.006290744869685106","-0.006290744869685106"
"1048","-0.0047841517426835236","-0.0047841517426835236","-0.0047841517426835236"
"1448","-0.003621486463464461","-0.003621486463464461","-0.003621486463464461"
"1712","-0.004368844854733899","-0.004368844854733899","-0.004368844854733899"
"2044","-0.0031044400722591795","-0.0031044400722591795","-0.0031044400722591795"
"2616","-0.004669840878145999","-0.004669840878145999","-0.004669840878145999"
"2988","-0.005153446853839566","-0.005153446853839566","-0.005153446853839566"
"3964","-0.005025766719306662","-0.005025766719306662","-0.005025766719306662"
"4256","-0.005293351888410852","-0.005293351888410852","-0.005293351888410852"
"4408","-0.006029056263210231","-0.006029056263210231","-0.006029056263210231"
"6472","-0.005199731298267412","-0.005199731298267412","-0.005199731298267412"
"9608","-0.0038996743604395893","-0.0038996743604395893","-0.0038996743604395893"
"10040","-0.0037490566691850895","-0.0037490566691850895","-0.0037490566691850895"
"12744","-0.00370292557661274","-0.00370292557661274","-0.00370292557661274"
"18980","-0.0034306006071049256","-0.0034306006071049256","-0.0034306006071049256"
"19176","-0.003653018162754672","-0.003653018162754672","-0.003653018162754672"
"19276","-0.0032324631613915677","-0.0032324631613915677","-0.0032324631613915677"
"19304","-0.003120101910763815","-0.003120101910763815","-0.003120101910763815"
"21004","-0.0031816594569075386","-0.0031816594569075386","-0.0031816594569075386"
"21044","-0.003128156470086442","-0.003128156470086442","-0.003128156470086442"
"21636","-0.00292697661084903","-0.00292697661084903","-0.00292697661084903"
"22460","-0.003196033816607199","-0.003196033816607199","-0.003196033816607199"
"22640","-0.003170615792460389","-0.003170615792460389","-0.003170615792460389"
"22740","-0.0031420831238082063","-0.0031420831238082063","-0.0031420831238082063"
"23744","-0.0034545127580374022","-0.0034545127580374022","-0.0034545127580374022"
"25036","-0.0033535946323796496","-0.0033535946323796496","-0.0033535946323796496"
"26824","-0.003237968066304184","-0.003237968066304184","-0.003237968066304184"
"27176","-0.0030590701555339387","-0.0030590701555339387","-0.0030590701555339387"
"29160","-0.0030189255518940604","-0.0030189255518940604","-0.0030189255518940604"
"30704","-0.0029230463961377475","-0.0029230463961377475","-0.0029230463961377475"
"30788","-0.0027662049491426425","-0.0027662049491426425","-0.0027662049491426425"
"31564","-0.002783604781635939","-0.002783604781635939","-0.002783604781635939"
"32140","-0.0030019680553715522","-0.0030019680553715522","-0.0030019680553715522"
"34112","-0.003138697187104281","-0.003138697187104281","-0.003138697187104281"
"35320","-0.0033693876330874377","-0.0033693876330874377","-0.0033693876330874377"
"40148","-0.002988269185731155","-0.002988269185731155","-0.002988269185731155"
"42676","-0.002761016123109868","-0.002761016123109868","-0.002761016123109868"
"43928","-0.002635282574913054","-0.002635282574913054","-0.002635282574913054"
"44504","-0.0026205274619987566","-0.0026205274619987566","-0.0026205274619987566"
"45740","-0.002898401604354698","-0.002898401604354698","-0.002898401604354698"
"46088","-0.0034556076293623967","-0.0034556076293623967","-0.0034556076293623967"
"47468","-0.0034423507519862344","-0.0034423507519862344","-0.0034423507519862344"
"47684","-0.0037358527166205108","-0.0037358527166205108","-0.0037358527166205108"
"49040","-0.0036614003620318455","-0.0036614003620318455","-0.0036614003620318455"
"54208","-0.0036905949005827648","-0.0036905949005827648","-0.0036905949005827648"
"56480","-0.003786087465345165","-0.003786087465345165","-0.003786087465345165"
"56848","-0.0037246692578444757","-0.0037246692578444757","-0.0037246692578444757"
"58228","-0.0037064394378991507","-0.0037064394378991507","-0.0037064394378991507"
"61360","-0.0039784792957290975","-0.0039784792957290975","-0.0039784792957290975"
"63560","-0.004008958149573657","-0.004008958149573657","-0.004008958149573657"
"64000","-0.003883814244559627","-0.003883814244559627","-0.003883814244559627"
"65384","-0.003763802299891951","-0.003763802299891951","-0.003763802299891951"
"70776","-0.0036861447481926573","-0.0036861447481926573","-0.0036861447481926573"
"72460","-0.0035013911569964497","-0.0035013911569964497","-0.0035013911569964497"
"72524","-0.003373961525536861","-0.003373961525536861","-0.003373961525536861"
"78076","-0.0032376695454643515","-0.0032376695454643515","-0.0032376695454643515"
"79616","-0.002832182811510597","-0.002832182811510597","-0.002832182811510597"
"84120","-0.0028554212451459547","-0.0028554212451459547","-0.0028554212451459547"
"85192","-0.0027366510359076207","-0.0027366510359076207","-0.0027366510359076207"
"85568","-0.0028128642435643614","-0.0028128642435643614","-0.0028128642435643614"
"86772","-0.002689662617623469","-0.002689662617623469","-0.002689662617623469"
"91228","-0.002704588872183256","-0.002704588872183256","-0.002704588872183256"
"92724","-0.002566433854024715","-0.002566433854024715","-0.002566433854024715"
"93828","-0.003090993743684796","-0.003090993743684796","-0.003090993743684796"
